,University,Department,State,Gender,Rank,Qualification,EmploymentType,Age,YearsOfExperience,Publications,PerformanceScore,AbsenceDays,CoursesTaught,StudentsSupervised,PayrollCategory,ResearchProductivity,TeachingLoad,Performance,YearsStudents
166,University of Nigeria Nsukka,Pharmacy,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,36,7,8,6.9,2,2,4,High,1.0,0.4,21.9,0.5
167,University of Benin,Nursing,Zamfara,Female,Professor,Ph.D,Part-time staff,57,31,3,7.7,5,3,11,Executive,0.0938,0.25,41.7,0.3438
168,University of Benin,Physics,Sokoto,Female,Lecturer i,Ph.D,Full-time staff,36,14,4,6.4,2,2,23,High,0.2667,0.0833,24.4,1.5333
169,University of Nigeria Nsukka,Chemistry,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,37,10,5,8.7,5,6,12,High,0.4545,0.4615,23.7,1.0909
170,Obafemi Awolowo University,History,Enugu,Female,Senior lecturer,M.Ed,Full-time staff,41,19,10,8.4,2,1,6,Executive,0.5,0.1429,37.4,0.3
171,Ahmadu Bello University,Pharmacy,Anambra,Female,Lecturer ii,M.Sc,Full-time staff,37,8,2,6.1,0,2,15,Medium,0.2222,0.125,16.1,1.6667
172,Ahmadu Bello University,Biology,Adamawa,Female,Lecturer ii,M.Sc,Full-time staff,36,7,5,6.4,2,7,11,Medium,0.625,0.5833,18.4,1.375
173,University of Lagos,Physics,Lagos,Female,Senior lecturer,M.Sc,Contract staff,47,22,7,6.3,10,5,3,High,0.3043,1.25,35.3,0.1304
174,Obafemi Awolowo University,Computer science,Imo,Male,Graduate assistant,M.Sc,Full-time staff,26,0,1,9.1,3,4,2,Medium,1.0,1.3333,10.1,2.0
175,Abubakar Tafawa Balewa University Bauchi,Library science,Benue,Female,Associate professor,Ph.D,Full-time staff,45,21,16,8.2,2,2,20,Executive,0.7273,0.0952,45.2,0.9091
176,Nnamdi Azikiwe University,Engineering,Niger,Female,Assistant lecturer,M.Sc,Full-time staff,29,3,5,7.1,3,1,0,Medium,1.25,1.0,15.1,0.0
177,University of Nigeria Nsukka,Pharmacy,Lagos,Female,Lecturer i,Ph.D,Full-time staff,33,9,7,3.7,5,6,5,High,0.7,1.0,19.7,0.5
178,University of Benin,History,Plateau,Female,Associate professor,Ph.D,Full-time staff,49,23,11,7.0,2,3,5,Executive,0.4583,0.5,41.0,0.2083
179,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Katsina,Female,Assistant lecturer,B.Sc,Full-time staff,29,4,6,7.1,1,6,0,Low,1.2,6.0,17.1,0.0
180,University of Benin,Architecture,Katsina,Female,Professor,M.Ed,Full-time staff,53,31,13,5.7,4,4,23,Executive,0.4062,0.1667,49.7,0.7188
181,Obafemi Awolowo University,Biology,Rivers,Female,Associate professor,M.Sc,Adjunct staff,50,22,14,9.1,1,3,19,Executive,0.6087,0.15,45.1,0.8261
182,Federal University of Technology Minna,Pharmacy,Plateau,Female,Lecturer ii,M.Sc,Full-time staff,35,9,4,4.4,1,3,15,Medium,0.4,0.1875,17.4,1.5
183,Obafemi Awolowo University,Mathematics,Imo,Female,Senior lecturer,MBA,Full-time staff,48,19,12,7.7,6,6,11,High,0.6,0.5,38.7,0.55
184,University of Ilorin,Statistics,Kano,Female,Associate professor,M.Phil,Full-time staff,48,28,14,7.1,9,3,4,Executive,0.4828,0.6,49.1,0.1379
185,Abubakar Tafawa Balewa University Bauchi,Accounting,Oyo,Female,Lecturer ii,Ph.D,Full-time staff,32,10,7,6.6,1,1,4,Medium,0.6364,0.2,23.6,0.3636
186,Bayero University Kano,Physics,Taraba,Male,Senior lecturer,Ph.D,Visiting staff,44,19,14,7.5,2,5,23,High,0.7,0.2083,40.5,1.15
187,Bayero University Kano,History,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,37,9,1,8.8,0,5,7,Medium,0.1,0.625,18.8,0.7
188,Abubakar Tafawa Balewa University Bauchi,Architecture,Kaduna,Female,Lecturer ii,B.Tech,Visiting staff,30,4,4,8.4,2,1,13,Medium,0.8,0.0714,16.4,2.6
189,University of Lagos,Medicine,Adamawa,Female,Assistant lecturer,M.Sc,Full-time staff,30,2,3,6.1,2,4,4,Medium,1.0,0.8,11.1,1.3333
190,Federal University of Technology Minna,Engineering,Kano,Female,Associate professor,Ph.D,Contract staff,44,19,11,9.7,3,3,16,Executive,0.55,0.1765,39.7,0.8
191,Federal University of Technology Minna,Biology,Kaduna,Female,Assistant lecturer,M.Sc,Adjunct staff,29,2,3,6.8,4,1,4,Medium,1.0,0.2,11.8,1.3333
192,Abubakar Tafawa Balewa University Bauchi,Physics,Kaduna,Male,Lecturer i,Ph.D,Part-time staff,37,10,4,9.6,0,2,8,High,0.3636,0.2222,23.6,0.7273
193,University of Benin,Architecture,Delta,Female,Lecturer i,Ph.D,Adjunct staff,36,8,4,4.5,0,1,9,High,0.4444,0.1,16.5,1.0
194,Nnamdi Azikiwe University,Medicine,Anambra,Female,Senior lecturer,B.Tech,Full-time staff,43,21,12,8.5,2,7,13,Executive,0.5455,0.5,41.5,0.5909
195,Abubakar Tafawa Balewa University Bauchi,Medicine,Kano,Female,Associate professor,MBA,Part-time staff,50,0,11,5.9,4,6,9,Executive,11.0,0.6,16.9,9.0
196,University of Ilorin,Geography,Sokoto,Female,Lecturer ii,M.Sc,Full-time staff,32,10,5,3.6,0,6,21,Medium,0.4545,0.2727,18.6,1.9091
197,Abubakar Tafawa Balewa University Bauchi,Economics,Anambra,Female,Lecturer ii,Ph.D,Full-time staff,28,4,4,8.5,3,1,9,Medium,0.8,0.1,16.5,1.8
198,Bayero University Kano,Mathematics,Adamawa,Female,Assistant lecturer,MBA,Full-time staff,31,6,3,9.5,0,7,3,Medium,0.4286,1.75,18.5,0.4286
199,Abubakar Tafawa Balewa University Bauchi,Nursing,Bauchi,Female,Graduate assistant,Ph.D,Full-time staff,26,0,1,8.6,0,1,2,Low,1.0,0.3333,9.6,2.0
200,University of Nigeria Nsukka,Architecture,Kaduna,Female,Lecturer ii,Ph.D,Part-time staff,33,5,6,6.2,3,2,23,Medium,1.0,0.0833,17.2,3.8333
201,University of Ilorin,Geography,Adamawa,Male,Professor,Ph.D,Full-time staff,59,34,16,5.8,4,5,12,Executive,0.4571,0.3846,55.8,0.3429
202,Abubakar Tafawa Balewa University Bauchi,English,Niger,Female,Lecturer i,Ph.D,Full-time staff,39,12,9,3.7,3,12,22,High,0.6923,0.5217,24.7,1.6923
203,University of Lagos,Geography,Imo,Female,Associate professor,M.Sc,Full-time staff,56,28,8,4.2,3,1,5,Executive,0.2759,0.1667,40.2,0.1724
204,Federal University of Technology Minna,History,Abuja,Female,Graduate assistant,Ph.D,Full-time staff,29,0,4,8.6,6,5,2,Low,4.0,1.6667,12.6,2.0
205,Ahmadu Bello University,Geography,Adamawa,Female,Lecturer ii,Ph.D,Part-time staff,38,9,1,7.5,0,7,9,High,0.1,0.7,17.5,0.9
206,Nnamdi Azikiwe University,History,Abuja,Female,Senior lecturer,Ph.D,Full-time staff,42,14,8,6.7,0,7,17,High,0.5333,0.3889,28.7,1.1333
207,Abubakar Tafawa Balewa University Bauchi,Accounting,Rivers,Male,Lecturer ii,Ph.D,Contract staff,33,4,4,7.3,2,4,10,Medium,0.8,0.3636,15.3,2.0
208,Ahmadu Bello University,Economics,Sokoto,Female,Senior lecturer,Ph.D,Visiting staff,42,19,1,8.7,5,0,9,Executive,0.05,0.0,28.7,0.45
209,Obafemi Awolowo University,Chemistry,Abuja,Female,Lecturer i,B.Ed,Full-time staff,35,12,11,6.6,3,1,13,Medium,0.8462,0.0714,29.6,1.0
210,Obafemi Awolowo University,Mathematics,Abuja,Female,Lecturer ii,Ph.D,Full-time staff,34,5,0,6.4,2,3,24,Medium,0.0,0.12,11.4,4.0
211,Bayero University Kano,Education,Kwara,Female,Professor,Ph.D,Part-time staff,56,40,7,8.9,3,5,15,Executive,0.1707,0.3125,55.9,0.3659
212,Federal University of Technology Minna,Nursing,Niger,Male,Senior lecturer,Ph.D,Full-time staff,37,16,7,6.6,3,6,23,Executive,0.4118,0.25,29.6,1.3529
213,University of Nigeria Nsukka,Economics,Plateau,Female,Lecturer ii,M.Sc,Visiting staff,31,7,7,3.9,261,6,12,Medium,0.875,0.4615,17.9,1.5
214,University of Nigeria Nsukka,Accounting,Enugu,Female,Associate professor,Ph.D,Contract staff,48,20,9,7.5,1,7,19,Executive,0.4286,0.35,36.5,0.9048
215,Bayero University Kano,Economics,Kwara,Female,Lecturer ii,Ph.D,Contract staff,34,7,9,7.0,1,7,2,Medium,1.125,2.3333,23.0,0.25
216,Nnamdi Azikiwe University,Medicine,Imo,Female,Senior lecturer,B.Tech,Full-time staff,40,16,6,8.7,1,2,4,Executive,0.3529,0.4,30.7,0.2353
217,Nnamdi Azikiwe University,History,Plateau,Female,Lecturer i,Ph.D,Full-time staff,37,10,4,9.5,2,4,14,High,0.3636,0.2667,23.5,1.2727
218,Federal University of Technology Minna,Library science,Imo,Female,Professor,Ph.D,Full-time staff,50,28,11,6.6,6,6,6,Executive,0.3793,0.8571,45.6,0.2069
219,Federal University of Technology Minna,Physics,Oyo,Female,Associate professor,Ph.D,Full-time staff,49,19,10,6.3,0,5,4,Executive,0.5,1.0,35.3,0.2
220,University of Ilorin,Statistics,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,32,5,4,6.8,2,4,6,Medium,0.6667,0.5714,15.8,1.0
221,Federal University of Technology Minna,Accounting,Imo,Female,Lecturer i,M.Tech,Part-time staff,33,8,9,5.5,0,7,23,High,1.0,0.2917,22.5,2.5556
222,Bayero University Kano,Computer science,Sokoto,Female,Graduate assistant,M.Phil,Full-time staff,27,2,2,10.0,6,5,2,Low,0.6667,1.6667,14.0,0.6667
223,University of Benin,Law,Plateau,Female,Lecturer i,Ph.D,Full-time staff,41,12,5,8.8,4,1,9,High,0.3846,0.1,25.8,0.6923
224,University of Ilorin,Chemistry,Sokoto,Female,Senior lecturer,M.Ed,Full-time staff,49,20,11,8.9,4,1,22,High,0.5238,0.0435,39.9,1.0476
225,University of Lagos,Architecture,Kwara,Female,Senior lecturer,M.Ed,Contract staff,49,20,0,5.9,2,4,7,Executive,0.0,0.5,25.9,0.3333
226,University of Ilorin,History,Katsina,Female,Lecturer i,Ph.D,Full-time staff,39,10,6,7.0,1,2,17,High,0.5455,0.1111,23.0,1.5455
227,University of Benin,Physics,Benue,Female,Lecturer i,M.Ed,Full-time staff,36,8,6,6.7,4,5,15,High,0.6667,0.3125,20.7,1.6667
228,Federal University of Technology Minna,Medicine,Zamfara,Female,Assistant lecturer,M.Sc,Full-time staff,24,2,5,5.4,3,4,1,Medium,1.6667,2.0,12.4,0.3333
229,Federal University of Technology Minna,Accounting,Lagos,Female,Lecturer ii,Ph.D,Part-time staff,37,10,4,4.9,0,4,11,Medium,0.3636,0.3333,18.9,1.0
230,Federal University of Technology Minna,History,Benue,Female,Lecturer ii,Ph.D,Full-time staff,28,4,6,5.1,2,5,15,Medium,1.2,0.3125,15.1,3.0
231,Federal University of Technology Minna,Computer science,Lagos,Male,Senior lecturer,Ph.D,Contract staff,45,22,6,6.2,1,7,8,Executive,0.2609,0.7778,34.2,0.3478
232,Ahmadu Bello University,Chemistry,Oyo,Female,Assistant lecturer,M.Sc,Full-time staff,30,6,4,7.4,0,3,2,Medium,0.5714,1.0,17.4,0.2857
233,Federal University of Technology Minna,History,Oyo,Female,Assistant lecturer,Ph.D,Full-time staff,32,6,4,9.3,3,3,4,Medium,0.5714,0.6,19.3,0.5714
234,Bayero University Kano,Education,Rivers,Female,Senior lecturer,Ph.D,Part-time staff,43,16,4,9.7,0,3,10,Executive,0.2353,0.2727,29.7,0.5882
235,Federal University of Technology Minna,Nursing,Imo,Female,Lecturer i,Ph.D,Full-time staff,41,15,5,6.7,0,3,11,High,0.3125,0.25,26.7,0.6875
236,University of Lagos,Pharmacy,Enugu,Female,Lecturer ii,Ph.D,Full-time staff,32,9,7,9.6,2,6,20,Medium,0.7,0.2857,25.6,2.0
237,University of Ilorin,Chemistry,Abuja,Female,Lecturer i,Ph.D,Full-time staff,32,8,2,4.9,3,7,14,High,0.2222,0.4667,14.9,1.5556
238,Abubakar Tafawa Balewa University Bauchi,Architecture,Benue,Female,Associate professor,Ph.D,Full-time staff,49,20,14,7.0,0,2,18,Executive,0.6667,0.1053,41.0,0.8571
239,Nnamdi Azikiwe University,Physics,Kwara,Female,Assistant lecturer,B.Sc,Full-time staff,26,4,4,9.7,1,2,4,Medium,0.8,0.4,17.7,0.8
240,Ahmadu Bello University,English,Kaduna,Female,Graduate assistant,MBA,Contract staff,31,3,1,5.7,1,7,2,Medium,0.25,2.3333,9.7,0.5
241,University of Lagos,Architecture,Anambra,Female,Lecturer i,Ph.D,Full-time staff,36,7,5,8.2,1,2,15,High,0.625,0.125,20.2,1.875
242,Federal University of Technology Minna,Mathematics,Lagos,Female,Lecturer ii,M.Sc,Full-time staff,28,4,3,9.6,2,12,8,Medium,0.6,1.3333,16.6,1.6
243,University of Nigeria Nsukka,Geography,Abuja,Female,Associate professor,MBA,Full-time staff,49,19,6,4.7,6,5,4,Executive,0.3,1.0,29.7,0.2
244,Obafemi Awolowo University,English,Enugu,Female,Senior lecturer,Ph.D,Part-time staff,38,14,2,5.0,5,6,23,Executive,0.1333,0.25,21.0,1.5333
245,University of Lagos,Physics,Taraba,Female,Senior lecturer,B.Ed,Full-time staff,47,19,1,6.5,1,1,7,Executive,0.05,0.125,26.5,0.35
246,Nnamdi Azikiwe University,Statistics,Katsina,Female,Lecturer i,Ph.D,Contract staff,41,13,7,6.0,0,4,15,High,0.5,0.25,26.0,1.0714
247,Abubakar Tafawa Balewa University Bauchi,Law,Benue,Female,Lecturer ii,M.Sc,Full-time staff,33,7,8,6.3,6,1,20,Medium,1.0,0.0476,21.3,2.5
248,Obafemi Awolowo University,Engineering,Delta,Female,Assistant lecturer,Ph.D,Contract staff,30,5,5,6.3,1,4,4,Medium,0.8333,0.8,16.3,0.6667
249,University of Nigeria Nsukka,Architecture,Lagos,Female,Lecturer ii,Ph.D,Full-time staff,31,5,9,6.3,1,1,10,Medium,1.5,0.0909,20.3,1.6667
250,Abubakar Tafawa Balewa University Bauchi,Statistics,Oyo,Female,Graduate assistant,Ph.D,Full-time staff,28,3,3,5.7,3,1,1,Low,0.75,0.5,11.7,0.25
251,Bayero University Kano,Geography,Sokoto,Male,Associate professor,Ph.D,Full-time staff,45,20,2,8.3,2,6,10,Executive,0.0952,0.5455,30.3,0.4762
252,Bayero University Kano,Pharmacy,Oyo,Male,Lecturer ii,M.Sc,Adjunct staff,33,6,4,6.7,3,5,13,Medium,0.5714,0.3571,16.7,1.8571
253,Ahmadu Bello University,Biology,Taraba,Female,Associate professor,B.Ed,Full-time staff,49,28,9,4.2,2,7,19,Executive,0.3103,0.35,41.2,0.6552
254,University of Lagos,Chemistry,Abuja,Female,Associate professor,Ph.D,Full-time staff,56,29,16,9.3,2,5,3,Executive,0.5333,1.25,54.3,0.1
255,University of Nigeria Nsukka,Biology,Adamawa,Female,Lecturer i,Ph.D,Contract staff,40,13,6,7.5,0,7,3,High,0.4286,1.75,26.5,0.2143
256,Obafemi Awolowo University,Chemistry,Niger,Female,Senior lecturer,Ph.D,Full-time staff,43,18,10,9.3,6,5,18,Executive,0.5263,0.2632,37.3,0.9474
257,University of Benin,Physics,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,27,4,8,5.7,1,5,7,Medium,1.6,0.625,17.7,1.4
258,Obafemi Awolowo University,Chemistry,Anambra,Male,Assistant lecturer,Ph.D,Full-time staff,31,5,4,7.5,0,4,1,Low,0.6667,2.0,16.5,0.1667
259,Federal University of Technology Minna,Medicine,Imo,Female,Senior lecturer,M.Phil,Full-time staff,42,18,7,6.6,4,6,16,High,0.3684,0.3529,31.6,0.8421
260,University of Nigeria Nsukka,Economics,Lagos,Female,Lecturer ii,Ph.D,Full-time staff,38,10,3,9.4,2,4,19,Medium,0.2727,0.2,22.4,1.7273
261,Bayero University Kano,Physics,Plateau,Female,Senior lecturer,M.Ed,Full-time staff,35,13,5,8.5,4,6,7,High,0.3571,0.75,26.5,0.5
262,Obafemi Awolowo University,Mathematics,Anambra,Female,Assistant lecturer,M.Sc,Contract staff,29,2,2,7.8,12,4,4,Low,0.6667,0.8,11.8,1.3333
263,University of Nigeria Nsukka,Education,Enugu,Male,Lecturer i,M.Phil,Full-time staff,34,9,10,5.9,3,1,6,High,1.0,0.1429,24.9,0.6
264,Bayero University Kano,Chemistry,Adamawa,Male,Lecturer ii,M.Sc,Visiting staff,29,7,6,9.4,2,1,22,Medium,0.75,0.0435,22.4,2.75
265,Nnamdi Azikiwe University,Pharmacy,Kaduna,Female,Assistant lecturer,Ph.D,Full-time staff,25,2,5,7.8,5,6,2,Medium,1.6667,2.0,14.8,0.6667
266,University of Benin,Accounting,Sokoto,Female,Lecturer i,Ph.D,Full-time staff,38,15,3,6.0,1,1,19,High,0.1875,0.05,24.0,1.1875
267,University of Ilorin,Biology,Adamawa,Female,Lecturer i,M.Sc,Full-time staff,37,14,4,5.4,4,5,8,High,0.2667,0.5556,23.4,0.5333
268,University of Nigeria Nsukka,Engineering,Kaduna,Female,Professor,Ph.D,Full-time staff,50,27,20,3.6,8,1,4,Executive,0.7143,0.2,50.6,0.1429
269,Ahmadu Bello University,History,Oyo,Female,Professor,Ph.D,Full-time staff,53,28,17,9.6,6,3,5,Executive,0.5862,0.5,54.6,0.1724
270,Abubakar Tafawa Balewa University Bauchi,Computer science,Imo,Male,Assistant lecturer,Ph.D,Full-time staff,28,5,2,9.2,0,6,2,Medium,0.3333,2.0,16.2,0.3333
271,University of Lagos,Engineering,Niger,Female,Lecturer ii,Ph.D,Full-time staff,30,5,7,9.4,3,12,24,Medium,1.1667,0.48,21.4,4.0
272,University of Benin,Architecture,Zamfara,Female,Lecturer i,Ph.D,Full-time staff,39,10,8,7.8,5,3,10,Medium,0.7273,0.2727,25.8,0.9091
273,Ahmadu Bello University,Education,Adamawa,Female,Senior lecturer,M.Phil,Full-time staff,47,21,8,7.8,0,7,21,Executive,0.3636,0.3182,36.8,0.9545
274,University of Ilorin,Agriculture,Niger,Female,Senior lecturer,Ph.D,Full-time staff,42,22,7,4.0,2,7,24,Executive,0.3043,0.28,33.0,1.0435
275,Federal University of Technology Minna,Agriculture,Taraba,Female,Professor,MBA,Full-time staff,50,28,18,8.1,2,2,17,Executive,0.6207,0.1111,54.1,0.5862
276,Bayero University Kano,Chemistry,Lagos,Female,Lecturer ii,Ph.D,Contract staff,38,9,7,6.7,2,1,14,Medium,0.7,0.0667,22.7,1.4
277,University of Lagos,Physics,Delta,Female,Lecturer i,M.Sc,Contract staff,39,11,7,6.2,11,5,11,High,0.5833,0.4167,24.2,0.9167
278,Federal University of Technology Minna,Biology,Katsina,Female,Lecturer ii,Ph.D,Part-time staff,31,8,2,3.5,15,6,24,Medium,0.2222,0.24,13.5,2.6667
279,University of Nigeria Nsukka,Medicine,Anambra,Female,Senior lecturer,Ph.D,Full-time staff,35,13,6,9.7,6,3,24,Executive,0.4286,0.12,28.7,1.7143
280,Nnamdi Azikiwe University,History,Adamawa,Female,Lecturer i,M.Sc,Full-time staff,37,12,5,5.7,7,5,23,High,0.3846,0.2083,22.7,1.7692
281,Ahmadu Bello University,Engineering,Enugu,Female,Senior lecturer,Ph.D,Full-time staff,39,13,7,7.6,4,4,24,Executive,0.5,0.16,27.6,1.7143
282,University of Lagos,Architecture,Kano,Female,Lecturer i,M.Ed,Full-time staff,32,10,10,9.5,0,6,12,High,0.9091,0.4615,29.5,1.0909
283,University of Nigeria Nsukka,Geography,Kaduna,Female,Lecturer i,Ph.D,Full-time staff,39,12,9,5.4,4,6,16,High,0.6923,0.3529,26.4,1.2308
284,Federal University of Technology Minna,Architecture,Imo,Female,Lecturer i,Ph.D,Full-time staff,33,8,3,8.2,2,4,18,High,0.3333,0.2105,19.2,2.0
285,Bayero University Kano,Architecture,Niger,Female,Lecturer i,M.Tech,Full-time staff,40,11,6,6.7,4,3,21,High,0.5,0.1364,23.7,1.75
286,Abubakar Tafawa Balewa University Bauchi,Engineering,Delta,Female,Associate professor,B.Tech,Full-time staff,49,27,13,8.8,3,5,14,Executive,0.4643,0.3333,48.8,0.5
287,University of Ilorin,Computer science,Adamawa,Female,Associate professor,B.Ed,Part-time staff,45,22,1,6.2,2,5,15,Executive,0.0435,0.3125,29.2,0.6522
288,University of Lagos,Architecture,Enugu,Female,Professor,B.Tech,Full-time staff,56,40,16,4.8,7,7,8,Executive,0.3902,0.7778,60.8,0.1951
289,Nnamdi Azikiwe University,Chemistry,Sokoto,Female,Associate professor,Ph.D,Full-time staff,42,19,7,6.0,4,3,16,Executive,0.35,0.1765,32.0,0.8
290,Obafemi Awolowo University,Engineering,Anambra,Female,Lecturer i,Ph.D,Full-time staff,40,12,5,8.7,0,2,23,High,0.3846,0.0833,25.7,1.7692
291,Abubakar Tafawa Balewa University Bauchi,English,Bauchi,Female,Lecturer i,Ph.D,Full-time staff,42,15,10,7.7,1,7,13,High,0.625,0.5,32.7,0.8125
292,University of Lagos,Nursing,Rivers,Female,Graduate assistant,Ph.D,Full-time staff,27,3,3,6.3,1,3,2,Low,0.75,1.0,12.3,0.5
293,Nnamdi Azikiwe University,Education,Niger,Female,Lecturer ii,M.Ed,Full-time staff,32,5,6,7.1,2,3,16,Medium,1.0,0.1765,18.1,2.6667
294,University of Nigeria Nsukka,Agriculture,Katsina,Female,Assistant lecturer,Ph.D,Full-time staff,29,3,6,5.5,0,2,0,Medium,1.5,2.0,14.5,0.0
295,University of Benin,Nursing,Abuja,Female,Lecturer ii,Ph.D,Part-time staff,38,9,4,4.9,3,3,18,Medium,0.4,0.1579,17.9,1.8
296,University of Ilorin,Accounting,Kano,Female,Lecturer i,Ph.D,Full-time staff,36,13,3,6.8,1,6,10,High,0.2143,0.5455,22.8,0.7143
297,University of Nigeria Nsukka,Economics,Taraba,Female,Lecturer i,M.Sc,Visiting staff,37,10,6,8.2,1,3,4,High,0.5455,0.6,24.2,0.3636
298,University of Benin,Physics,Kwara,Female,Senior lecturer,Ph.D,Full-time staff,38,15,6,8.0,8,3,7,Executive,0.375,0.375,29.0,0.4375
299,University of Ilorin,Engineering,Sokoto,Female,Lecturer ii,Ph.D,Full-time staff,29,5,3,5.9,3,1,11,Medium,0.5,0.0833,13.9,1.8333
300,Ahmadu Bello University,Library science,Rivers,Female,Lecturer ii,M.Phil,Full-time staff,27,5,5,4.9,0,3,3,Medium,0.8333,0.75,14.9,0.5
301,Obafemi Awolowo University,Geography,Rivers,Male,Lecturer i,M.Tech,Full-time staff,37,13,0,4.4,8,2,18,High,0.0,0.1053,17.4,1.2857
302,Federal University of Technology Minna,English,Kwara,Female,Lecturer i,Ph.D,Adjunct staff,42,14,6,9.9,5,1,3,Medium,0.4,0.25,29.9,0.2
303,Nnamdi Azikiwe University,Geography,Niger,Female,Associate professor,Ph.D,Full-time staff,50,23,9,10.0,5,4,8,Executive,0.375,0.4444,42.0,0.3333
304,Nnamdi Azikiwe University,Pharmacy,Rivers,Female,Lecturer ii,M.Sc,Part-time staff,30,4,2,4.7,1,4,4,Medium,0.4,0.8,10.7,0.8
305,Nnamdi Azikiwe University,Physics,Plateau,Female,Lecturer i,Ph.D,Part-time staff,32,9,1,8.2,5,3,4,High,0.1,0.6,18.2,0.4
306,Abubakar Tafawa Balewa University Bauchi,Geography,Bauchi,Female,Associate professor,M.Tech,Full-time staff,46,24,6,6.0,4,1,18,Executive,0.24,0.0526,36.0,0.72
307,University of Benin,Chemistry,Delta,Male,Graduate assistant,B.Ed,Full-time staff,24,0,4,8.0,0,1,1,Medium,4.0,0.5,12.0,1.0
308,University of Nigeria Nsukka,Mathematics,Katsina,Female,Lecturer i,Ph.D,Full-time staff,38,14,5,8.1,5,3,24,High,0.3333,0.12,27.1,1.6
309,Obafemi Awolowo University,Law,Delta,Female,Senior lecturer,B.Sc,Full-time staff,38,16,14,6.4,7,5,10,Executive,0.8235,0.4545,36.4,0.5882
310,Abubakar Tafawa Balewa University Bauchi,Pharmacy,Kwara,Female,Associate professor,M.Sc,Full-time staff,48,19,18,5.7,3,2,13,Executive,0.9,0.1429,42.7,0.65
311,Nnamdi Azikiwe University,Library science,Taraba,Male,Associate professor,Ph.D,Contract staff,51,26,15,5.1,261,6,3,Executive,0.5556,1.5,46.1,0.1111
312,University of Benin,Computer science,Benue,Female,Associate professor,M.Ed,Full-time staff,56,23,3,7.6,4,6,8,Executive,0.125,0.6667,33.6,0.3333
313,University of Lagos,Engineering,Kaduna,Female,Lecturer ii,M.Phil,Visiting staff,32,4,5,6.0,5,4,7,Medium,1.0,0.5,15.0,1.4
314,Federal University of Technology Minna,Economics,Kaduna,Female,Senior lecturer,B.Ed,Full-time staff,46,18,7,6.2,1,4,24,Executive,0.3684,0.16,31.2,1.2632
315,Nnamdi Azikiwe University,Engineering,Katsina,Male,Associate professor,Ph.D,Full-time staff,57,30,10,7.7,4,7,11,Executive,0.3226,0.5833,47.7,0.3548
316,Bayero University Kano,Computer science,Sokoto,Female,Senior lecturer,B.Tech,Full-time staff,44,19,3,4.9,3,0,20,High,0.15,0.0,26.9,1.0
317,Bayero University Kano,Law,Benue,Female,Lecturer ii,Ph.D,Contract staff,33,9,1,8.2,4,1,22,Medium,0.1,0.0435,18.2,2.2
318,University of Lagos,Statistics,Katsina,Female,Lecturer i,B.Sc,Adjunct staff,35,0,11,6.0,4,5,17,High,11.0,0.2778,17.0,17.0
319,University of Benin,Pharmacy,Sokoto,Male,Senior lecturer,Ph.D,Full-time staff,42,18,13,7.9,6,4,7,High,0.6842,0.5,38.9,0.3684
320,University of Nigeria Nsukka,Engineering,Niger,Female,Lecturer i,Ph.D,Part-time staff,33,9,2,6.0,1,4,17,High,0.2,0.2222,17.0,1.7
321,University of Nigeria Nsukka,Geography,Sokoto,Female,Lecturer i,B.Tech,Full-time staff,34,7,4,6.3,0,2,7,High,0.5,0.25,17.3,0.875
322,Abubakar Tafawa Balewa University Bauchi,Nursing,Rivers,Female,Lecturer i,M.Ed,Full-time staff,42,15,7,9.0,1,6,17,High,0.4375,0.3333,31.0,1.0625
323,Nnamdi Azikiwe University,Education,Lagos,Female,Associate professor,Ph.D,Part-time staff,49,20,14,5.0,1,7,14,Executive,0.6667,0.4667,39.0,0.6667
